,T_DATA_RT,T_DATA_F1_RT,T_DATA_F2_RT,T_DATA_F3_RT,I_DATA_RT,I_DATA_F1_RT,I_DATA_F2_RT,I_DATA_F3_RT,M_DATA_RT,M_DATA_F1_RT,M_DATA_F2_RT,M_DATA_F3_RT,R_DATA_RT,R_DATA_F1_RT,R_DATA_F2_RT,R_DATA_F3_RT,L_DATA_RT,L_DATA_F1_RT,L_DATA_F2_RT,L_DATA_F3_RT
0,0.0,-0.01,-2.914649446569766e-07,-2.914649446569766e-07,0.0,-0.01,-2.914649446569766e-07,2.914649446569766e-07,0.0,0.01,-2.914649446569766e-07,-2.914649446569766e-07,0.0,0.01,2.914649446569766e-07,-2.914649446569766e-07,0.0,-0.01,-2.914649446569766e-07,-2.914649446569766e-07
1,0.0,-0.015,-2.2950989959335253e-06,-1.8579015789480603e-06,0.0,-0.015,-2.2950989959335253e-06,2.149366523605037e-06,0.0,0.015,-2.2950989959335253e-06,-1.8579015789480603e-06,0.0,0.005,1.712169106619572e-06,-1.8579015789480603e-06,0.0,-0.015,-1.712169106619572e-06,-1.8579015789480603e-06
2,0.0,-0.013333333333333334,-8.708164842964123e-06,-5.848446238377789e-06,0.0,-0.013333333333333334,-8.708164842964123e-06,7.949235271206662e-06,0.0,0.02,-9.291094732278077e-06,-6.04275620148244e-06,0.0,0.006666666666666667,5.283826629724981e-06,-5.848446238377789e-06,0.0,-0.02,-5.283826629724981e-06,-6.04275620148244e-06
3,0.0,-0.015,-2.1875662204346814e-05,-1.2674950570125239e-05,0.0,-0.01,-2.2458592093660767e-05,2.0387401814338133e-05,0.0,0.019999999999999997,-2.5882930306899913e-05,-1.4107861585861928e-05,0.0,0.01,1.1890938834210809e-05,-1.252921809779675e-05,0.0,-0.025,-1.2473868723524763e-05,-1.396212911353344e-05
4,0.0,-0.013999999999999999,-4.206444220523418e-05,-2.2037097884504893e-05,0.0,-0.01,-4.665464019710122e-05,4.202353340809677e-05,0.0,0.017999999999999995,-5.663936356723723e-05,-2.7543852025954293e-05,0.0,0.01,2.1706902750051696e-05,-2.094784137546953e-05,0.0,-0.026000000000000002,-2.629710074191875e-05,-2.633800953905614e-05
5,0.0,-0.011666666666666665,-6.712213511498178e-05,-3.3338444056762964e-05,0.0,-0.011666666666666667,-8.570432457953792e-05,7.541195366668038e-05,0.0,0.01833333333333333,-0.00010547893414540644,-4.834189770524473e-05,0.0,0.008333333333333333,3.369305298501437e-05,-2.9181062984276347e-05,0.0,-0.028333333333333335,-5.169231256025657e-05,-4.340249400855795e-05
6,0.0,-0.011428571428571427,-9.336039044231212e-05,-4.5855761176314525e-05,0.0,-0.014285714285714287,-0.00014570918094542588,0.0001231003099824275,0.0,0.01714285714285714,-0.00017513099497284016,-7.879619200678827e-05,0.0,0.008571428571428572,4.6914753816779775e-05,-3.472721506395129e-05,0.0,-0.028571428571428574,-9.525627621734043e-05,-6.493342678791107e-05
7,0.0,-0.009999999999999998,-0.00011751173747523598,-5.874374262220358e-05,0.0,-0.0175,-0.00023363187293363563,0.00018755498681262243,0.0,0.017499999999999998,-0.0002666684479757927,-0.00012125415225251611,0.0,0.01,6.22844398528248e-05,-3.485713251230585e-05,0.0,-0.030000000000000002,-0.00016499551372784927,-9.043493263475992e-05
8,0.0,-0.007777777777777777,-0.0001378700854291698,-7.095326424687449e-05,0.0,-0.01888888888888889,-0.0003559712687661935,0.0002712767025119469,0.0,0.018888888888888886,-0.00038027337367397206,-0.0001779118425410734,0.0,0.01,8.233629991616174e-05,-2.6814888272915873e-05,0.0,-0.030000000000000002,-0.00027009522042786697,-0.00011931169600960692
9,0.0,-0.004999999999999999,-0.00015353672797698567,-8.124847207820397e-05,0.0,-0.021,-0.0005187617319995796,0.0003768870462975976,0.0,0.020999999999999998,-0.0005153357680462566,-0.0002505612855996801,0.0,0.011,0.00010926634796424832,-7.879072477755955e-06,0.0,-0.031,-0.00042070473040169235,-0.00015111096122820907
