,X_DATA_RT,X_DATA_F1_RT,X_DATA_F2_RT,X_DATA_F3_RT,Y_DATA_RT,Y_DATA_F1_RT,Y_DATA_F2_RT,Y_DATA_F3_RT,Z_DATA_RT,Z_DATA_F1_RT,Z_DATA_F2_RT,Z_DATA_F3_RT
361,-3.63324236869812,3.8837337684631352,0.8492661975603331,6.419890301515719,15.00373649597168,15.367842767238617,15.24159087194046,16.135341411600486,-30.852455139160156,-38.30902696380616,-37.31805668238311,-40.999420549693916
362,-3.63324236869812,3.763996441364289,0.6304068518878279,6.240739411574647,15.00373649597168,15.356101071834564,15.225010496869523,16.092230600240903,-30.852455139160156,-38.18787332305909,-37.235719354997805,-40.88899358992516
363,-3.875655174255371,3.639634516239167,0.416711015003783,6.056091961152521,14.681744575500488,15.33542490720749,15.21098866364994,16.0485834622331,-30.325363159179688,-38.05838929901124,-37.15429890143876,-40.776414187952
364,-4.023900032043457,3.513790142536164,0.20766467408435924,5.86638138695013,14.344487190246582,15.311376168727875,15.19791587082316,16.004485996850935,-29.774639129638672,-37.923398034667976,-37.072325413024814,-40.66166168922265
365,-4.023900032043457,3.3861014199256902,0.0038847370660873314,5.672014950260132,14.344487190246582,15.283434627056122,15.18688388566235,15.960076208884665,-29.774639129638672,-37.788977105712895,-36.989048532542,-40.544699425188135
366,-3.1406211853027344,3.271402151584626,-0.19625776753950336,5.473395246892002,13.669519424438477,15.231518905162812,15.181613725562514,15.915624520499893,-28.059358596801758,-37.6376361442566,-36.90396363106831,-40.42550493903299
367,-3.1406211853027344,3.1567028832435615,-0.39138861330297586,5.271034377764946,13.669519424438477,15.179603183269501,15.17695762686186,15.871207172369848,-28.059358596801758,-37.4862951828003,-36.81647305904845,-40.30409614479392
368,-3.187178611755371,3.035770885944367,-0.5796194462426653,5.065277467546451,13.905452728271484,15.144234397411346,15.168649994457777,15.82708692124911,-27.262073516845703,-37.32752137908936,-36.72570044702501,-40.18063686115139
369,-3.187178611755371,2.9148388886451726,-0.7623878284893142,4.856587172430643,13.905452728271484,15.108865611553192,15.160629238357558,15.783502438247965,-27.262073516845703,-37.168747575378426,-36.63030165755389,-40.05523403607764
370,-3.187178611755371,2.7913502717018135,-0.9387594961059568,4.64525022761569,13.905452728271484,15.061271693706512,15.156272908065697,15.740801025268828,-27.262073516845703,-37.0127271057129,-36.53040437203927,-39.92823868173336
371,-3.156161308288574,2.666876327991486,-1.1089277494875625,4.431719943909662,13.942889213562012,15.028141267299652,15.147898763725982,15.699043148685735,-26.43461799621582,-36.85055701980591,-36.42477076943402,-39.799872487899826
372,-4.379502296447754,2.527176554203034,-1.2722927710792815,4.216514646581621,13.521856307983398,14.990239408016205,15.139650676640132,15.65817526110071,-26.536739349365234,-36.68942542800904,-36.3134502879445,-39.67030664848667
373,-4.379502296447754,2.387476780414582,-1.4297288581735383,4.0000498237506985,13.521856307983398,14.952337548732757,15.131251185559778,15.618298605988901,-26.536739349365234,-36.528293836212164,-36.19600614495567,-39.53972670979146
374,-4.551559925079346,2.246056430339814,-1.5813614158355755,3.782589155485456,13.576163291931152,14.914978759288788,15.122566556735377,15.579643018471252,-25.695777893066406,-36.358752629852304,-36.07210526154771,-39.40819399418349
375,-4.551559925079346,2.101593935489655,-1.726487379975008,3.5645310134571475,13.576163291931152,14.877350785732268,15.113552540196915,15.542269672725618,-25.695777893066406,-36.185510480499275,-35.94251947577761,-39.27585976043223
376,-4.551559925079346,1.9571314406394964,-1.8661602079145614,3.346187168713115,13.576163291931152,14.83972281217575,15.104033831453856,15.506208223290002,-25.695777893066406,-36.012268331146245,-35.8059267199253,-39.14282502270342
377,-4.823444366455078,1.8099501013755803,-2.0005531484015586,3.1279188073375663,14.566015243530273,14.811993358135224,15.09710065898967,15.471542951665393,-24.176437377929688,-35.82383277664185,-35.6608838414914,-39.00912993354584
378,-4.823444366455078,1.6614127039909368,-2.1294615579126197,2.910110822197167,14.566015243530273,14.77330227613449,15.089621063650918,15.438136686188155,-24.176437377929688,-35.6397105003357,-35.50841282590669,-38.87470311773801
379,-4.823444366455078,1.5008748698234564,-2.250034515729367,2.6931692254812574,14.566015243530273,14.774047496318817,15.070425294544544,15.405755638072169,-24.176437377929688,-35.47483905563355,-35.342757513301024,-38.73952505445714
380,-3.2522048950195312,1.3560494303703314,-2.365894939970282,2.4774212102819635,13.341483116149902,14.76254739522934,15.05106759519043,15.374391126257384,-20.925615310668945,-35.2774593902588,-35.16924558920512,-38.60354188186608
381,-3.2522048950195312,1.2112239909172065,-2.4770468220008928,2.2630311242533065,13.341483116149902,14.751047294139862,15.031569098866209,15.344170892840204,-20.925615310668945,-35.08007972488404,-34.98702013833567,-38.466658140901124
382,-3.222684860229492,1.0679270052909857,-2.5837171529255714,2.0504210160257337,13.075055122375488,14.736009871959686,15.01207372094426,15.314928856099906,-19.807687759399414,-34.87300767669679,-34.79585347819326,-38.328709557279225
383,-3.0672950744628906,0.926183917522431,-2.6853942958425536,1.8398948111886344,12.757722854614258,14.717799127101898,14.992172649072415,15.286655065103304,-18.803050994873047,-34.655889260864264,-34.5950536338111,-38.189556187347826
384,-3.0672950744628906,0.7844408297538763,-2.7819382064166085,1.631652847897126,12.757722854614258,14.69958838224411,14.971700138399079,15.25922078164367,-18.803050994873047,-34.43877084503175,-34.3840071012307,-38.049102397559736
385,-3.0415663719177246,0.6437477612495428,-2.873452228622457,1.425980287762568,12.410033226013184,14.676735427379608,14.950814875351691,15.232614909846133,-17.8734073638916,-34.212958219146735,-34.16200943671323,-37.907153803207336
386,-3.010180950164795,0.5033685469627386,-2.959606604964428,1.223009919750382,12.145309448242188,14.651235234737396,14.929108175936603,15.207066700158924,-17.099863052368164,-33.97941015014649,-33.92849952068957,-37.76343307321931
387,-3.010180950164795,0.36463329553604185,-3.040797685553895,1.023028166775057,12.145309448242188,14.625312993526459,14.906246197591694,15.182538949363407,-17.099863052368164,-33.74678409347535,-33.68331698157807,-37.61772044190443
388,-3.010180950164795,0.22589804410934505,-3.116500007972628,0.8262944028500107,12.145309448242188,14.599390752315522,14.882022668787792,15.158987684222136,-17.099863052368164,-33.514158036804204,-33.42613288517315,-37.469774647746014
