,X_DATA_RT,X_DATA_F1_RT,X_DATA_F2_RT,X_DATA_F3_RT,Y_DATA_RT,Y_DATA_F1_RT,Y_DATA_F2_RT,Y_DATA_F3_RT,Z_DATA_RT,Z_DATA_F1_RT,Z_DATA_F2_RT,Z_DATA_F3_RT
145,-19.18720245361328,-7.3771927404403685,-10.15667396347974,-5.075913560600334,21.35654640197754,22.29274164199829,23.15521116881177,23.049510392638044,-32.80880355834961,-30.818126430511473,-32.09600170486447,-31.55022324468956
146,-19.703275680541992,-7.593335964679718,-10.410074519818307,-5.250506692573356,21.104597091674805,22.300454406738282,23.160800270279065,23.048860749795853,-32.71941375732422,-30.83778770446777,-32.14375551497457,-31.568821153322677
147,-19.703275680541992,-7.807030082941055,-10.6666762328295,-5.429132240618794,21.104597091674805,22.30707311630249,23.165665941808516,23.04844268848369,-32.71941375732422,-30.85699682235718,-32.19323268961424,-31.58823826448721
148,-20.2655029296875,-8.026346473693847,-10.92569647102926,-5.611735109760127,20.66016960144043,22.309247550964354,23.169268127954197,23.04824951668642,-32.760169982910156,-30.87661350250244,-32.24414360369282,-31.608467651407707
149,-20.853248596191406,-8.25154032111168,-11.187073024552,-5.7982573794374295,20.423351287841797,22.309053802490233,23.17136490797586,23.048267760276357,-32.72993087768555,-30.895927791595458,-32.2963259091716,-31.62950617850552
150,-20.853248596191406,-8.475991921424866,-11.450986037729447,-5.9884988751060515,20.423351287841797,22.305372428894042,23.172692859265997,23.048451486823435,-32.72993087768555,-30.911065139770507,-32.35081233396466,-31.651387138115428
151,-20.853248596191406,-8.661724371910095,-11.728271429345927,-6.182639344930767,20.423351287841797,22.2799049949646,23.178227949750923,23.048902413630536,-32.72993087768555,-30.944546604156493,-32.400969895828666,-31.674003380695126
152,-21.46527862548828,-8.854904263019561,-12.007233328167317,-6.380598974934573,20.33818244934082,22.252703075408935,23.181680716221464,23.049586825263816,-33.045284271240234,-30.98016263961792,-32.452252458953744,-31.69736607506025
153,-21.924510955810547,-9.053198606967927,-12.287991211778902,-6.582361618546643,20.14386558532715,22.222969818115235,23.182754142653543,23.05044335758188,-33.330081939697266,-31.020207424163818,-32.50380256568305,-31.721435073228733
154,-22.733142852783203,-9.25139295091629,-12.570609014193812,-6.787843432837286,20.055021286010742,22.19234811782837,23.181083574790698,23.051592856584776,-33.72712707519531,-31.064222660064697,-32.55602867840782,-31.74638000409603
155,-22.964496612548828,-9.449487294864655,-12.854987280671587,-6.996925874914118,19.670337677001953,22.157879581451414,23.176479430656077,23.05279820627987,-33.49201965332031,-31.105886821746825,-32.60893264134027,-31.77200910632555
156,-22.964496612548828,-9.65094004573822,-13.139979862626806,-7.209509853246628,19.670337677001953,22.12041681289673,23.169607609947146,23.054019422367293,-33.49201965332031,-31.15298988342285,-32.660963347872936,-31.798310971602255
157,-22.964496612548828,-9.852292796611787,-13.426372526065121,-7.42562024811679,19.670337677001953,22.082954044342042,23.15941844536702,23.055259048467473,-33.49201965332031,-31.200092945098877,-32.713678735195465,-31.825384468796482
158,-23.96964454650879,-10.053975733470917,-13.713831382681061,-7.645175407893002,19.203166961669922,22.041704845428466,23.1454982024468,23.056461814321672,-33.4831428527832,-31.24883180618286,-32.76654700876041,-31.853242542571387
159,-23.96964454650879,-10.25575867033005,-14.002111616852751,-7.868078033529835,19.203166961669922,22.000455646514894,23.127950288930744,23.05755846886438,-33.4831428527832,-31.297570667266847,-32.82001736445125,-31.881908862062858
160,-23.96964454650879,-10.457033565711976,-14.290984021902636,-8.094232491342995,19.203166961669922,21.961033267974855,23.10610654968185,23.05845717704869,-33.4831428527832,-31.347533626556398,-32.87367777660506,-31.911377502800185
161,-24.318288803100586,-10.659804859638216,-14.579556519511286,-8.323521250281408,18.712303161621094,21.915470829010008,23.080726697987192,23.05908686479779,-33.03145980834961,-31.393277797698975,-32.92771400723722,-31.9416692797407
162,-24.318288803100586,-10.861723115825654,-14.868111670167204,-8.5558100693709,18.712303161621094,21.870209369659424,23.05125156862282,23.059331315362304,-33.03145980834961,-31.43805341720581,-32.9823613678219,-31.97275877502718
163,-24.79790687561035,-11.063741372013094,-15.155961796067384,-8.790988048779534,18.67013931274414,21.82452627182007,23.017657504595768,23.059107379468838,-33.486106872558594,-31.487375507354738,-33.03718424933344,-32.00466077062481
164,-24.79790687561035,-11.266672447204591,-15.442449328814549,-9.02892361858951,18.67013931274414,21.776337146759033,22.980584611358317,23.058337770196268,-33.486106872558594,-31.53557641983032,-33.09237921941095,-32.03739564608605
165,-24.79790687561035,-11.470673444938662,-15.72709973135079,-9.269478294428136,18.67013931274414,21.726926231384276,22.939622819526917,23.056934983089274,-33.486106872558594,-31.584668807983398,-33.14728226979498,-32.07096926326653
166,-25.84781265258789,-11.674774442672732,-16.00976037026901,-9.512566640443909,18.4050235748291,21.67486415863037,22.894418148808693,23.054857438644397,-34.32575988769531,-31.64215772628784,-33.20210284216276,-32.10546465530288
167,-25.84781265258789,-11.8787754404068,-16.29000018787198,-9.758043149267484,18.4050235748291,21.622802085876465,22.84498842308128,23.05200640931788,-34.32575988769531,-31.699646644592285,-33.256859484389715,-32.14088731220541
168,-26.281511306762695,-12.082894083309174,-16.56733077964067,-10.005755434795427,18.424579620361328,21.570661354064942,22.79144767794719,23.04828574300259,-34.486366271972656,-31.758937129974367,-33.31157835329367,-32.17724371412321
169,-26.29119873046875,-12.287112726211548,-16.841396260165656,-10.25554560562732,18.347314834594727,21.517747974395753,22.733782459493504,23.043593988825002,-34.13139343261719,-31.81467788696289,-33.36640390391046,-32.214538206090374
170,-26.29119873046875,-12.4903861992836,-17.112086577320547,-10.507127058748434,18.347314834594727,21.465102081298827,22.67201275304822,23.037810913460305,-34.13139343261719,-31.868706073760986,-33.42187364848746,-32.252797304334614
171,-26.29119873046875,-12.712655615329743,-17.373230742496176,-10.76022526144059,18.347314834594727,21.45725992202759,22.59350550403262,23.030575331538753,-34.13139343261719,-31.881629123687745,-33.48926577585537,-32.29225004961308
172,-27.137237548828125,-12.934825031375885,-17.629985244934897,-11.014671243130513,18.302490234375,21.44896951675415,22.51141197859945,23.021790089436223,-34.68067169189453,-31.900044956207275,-33.55664232176127,-32.332891780124704
